algorithm.__name__,number_of_episodes,elapsed_time_sec,power_consumption
TD3,658562,7040.515544,1600.05475
A2C,310449,335.9941165,1674.808
DDPG,82993,730.7478354,1550.07475
A2C,569398,625.0982864,1687.0315
TD3,656032,6748.209342,1600.09575
A2C,999056,1072.338135,1700.027125
TD3,46859,405.9069502,1550.01075
A2C,358635,384.0650702,1750.017125
PPO,938185,750.0015054,1899.468
A2C,365295,388.7534888,1750.125875
SAC,221094,3323.563228,1600.079125
SAC,747352,11492.91911,1599.99975
DDPG,375218,3597.207416,1600.065
A2C,680459,735.106914,1750.129625
DDPG,489476,4762.43148,1600.09175
A2C,520497,560.4785938,1750.000125
TD3,518865,5290.785069,1600.007625
SAC,393240,5975.889016,1600.075
TD3,249467,2410.543201,1600.051375
SAC,534883,8096.076094,1600.02225
A2C,695428,758.2562437,1700.1
A2C,256980,282.8670673,1630.951375
TD3,612807,6349.234158,1550.008875
SAC,765388,11928.7016,1600.017
PPO,80528,69.00287342,1850.018125
TD3,851371,8899.992759,1550.01075
TD3,29929,266.806828260422,1550.070375
PPO,10985,11.3808841705322,1850.13975
TD3,28384,247.30647277832,1690.093125
A2C,72934,80.3211359977722,1700.1065
PPO,17705,17.3398780822754,1800.021125
SAC,36252,519.380570411682,1550.06575
SAC,20938,307.017441511154,1550.054375
TD3,68133,601.897017002106,1551.611375
DDPG,49417,429.281256198883,1550.01925
TD3,91907,824.101065635681,1550.00825
SAC,56977,820.980795145035,1550.047875
PPO,73324,60.4872977733612,2063.271375
SAC,28927,423.473170757294,1550.06225
PPO,97700,84.1137042045593,1800.01375
DDPG,59507,519.621616840363,1550.0065
TD3,51656,458.91259264946,1550.07025
PPO,64366,57.2119345664978,1800.127375
DDPG,86665,772.749271631241,1550.0105
PPO,96607,82.439971446991,1850.018125
A2C,80527,88.7480781078339,1650.013375
A2C,90683,98.3380570411682,1700
TD3,27302,185.005934000015,2020.023875
DDPG,224204,2451.10511493683,1549.989
A2C,306537,335.828657865524,1824.554875
DDPG,574734,5568.73573040962,1600.012375
TD3,608217,4622.75968408585,2260.36775
SAC,201908,2730.05336499214,1600.01175
PPO,800926,629.566955804825,1936.81225
SAC,816475,12185.5508394241,1600.080625
A2C,878081,921.388249635696,1750.11125
DDPG,302473,2067.8701915741,2031.987
SAC,461458,4439.48358750343,2025.925
PPO,606185,379.212866544723,2011.81475
A2C,290137,215.693165540695,2012.579875
A2C,759294,561.338764190674,2011.873875
SAC,967118,9621.61374545097,2030.412125
PPO,69904,44.8227422237396,2017.7765
TD3,622703,4008.09756159782,2019.153625
SAC,57454,535.178819179535,2024.9875
DDPG,197108,1163.57998871803,2022.959875
A2C,777179,577.502705097198,2012.52425
TD3,374573,2371.66740512848,2027.21575
A2C,921186,684.821290016174,2011.971625
DDPG,541403,3318.12545180321,2031.355
PPO,64297,40.9426786899567,2011.807125
SAC,305517,2996.46938705444,2019.80225
DDPG,281701,1699.80475449562,2273.6085
SAC,74545,1039.80243802071,1550.037125
