learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward,training_time,standard deviation
0.01,512,64,0.9,0.85,0.1,0.001,1E-07,184.5,1.4709837436676,22.9619250064101
0.01,512,64,0.95,0.95,0.1,0,1E-07,475.8,1.57928061485291,50.6
0.01,512,64,0.95,0.95,0.2,0.001,1E-06,500,1.42648863792419,0
0.01,512,64,0.95,0.9,0.2,0.1,1E-07,146.1,1.63492751121521,18.7533996917892
0.01,512,64,0.99,0.95,0.3,0,1E-05,216,1.53861355781555,36.1303196775229
0.01,512,64,0.99,0.95,0.3,0.1,1E-07,233.1,1.62631464004517,14.7543214008642
0.01,512,64,0.99,0.95,0.5,0.1,1E-07,242.9,1.59399914741516,5.6471231613982
0.01,512,64,0.999,0.9,0.3,0.001,1E-05,92.7,1.44576287269592,7.15611626512594
0.01,512,64,0.999,0.9,0.4,0.01,1E-06,331.4,1.58537578582764,118.494050483558
0.01,512,128,0.95,0.95,0.4,0,1E-05,464.6,1.15377402305603,36.8271638875437
0.01,512,128,0.95,0.95,0.5,0.01,1E-05,298.4,1.14268279075623,122.377448902974
0.01,512,128,0.95,0.9,0.1,0.01,1E-06,185.8,1.23300242424011,105.917703902605
0.01,512,128,0.99,0.95,0.1,0.001,1E-07,245.5,1.27370476722717,65.2077449387724
0.01,512,128,0.99,0.95,0.4,0.01,1E-07,143.6,1.21209836006165,65.1370862105452
0.01,512,128,0.99,0.9,0.3,0.01,1E-07,208.6,1.28723978996277,46.8085462282263
0.01,512,128,0.999,0.95,0.2,0.01,1E-05,500,1.10436153411865,0
0.01,512,128,0.999,0.9,0.4,0.1,1E-05,99,1.30246710777283,10.3923048454133
0.01,512,128,0.999,0.9,0.5,0.001,1E-06,65.6,1.34413552284241,15.538339679644
0.001,512,64,0.99,0.95,0.5,0,1E-06,473.8,1.65794110298157,52.493428160104
0.001,512,64,0.999,0.95,0.3,0.1,1E-06,200,1.5212140083313,69.5384785568393
0.001,512,64,0.999,0.95,0.5,0.1,1E-07,211.1,1.68008422851563,9.36429388688758
0.001,512,64,0.999,0.95,0.5,0.01,1E-06,301.6,1.54067945480347,39.7195166133728
